246267,长城,0.5,0.5,0.09,0.33,0.28,0.14,0.09,0.09,0.31,0.69,0.43,0.24,0.2,0.12,其他,0.51,白领,0.35,学生,0.13,动作,0.32,爱情,0.29,科幻,0.16,喜剧,0.12,动画,0.04,美人鱼,湄公河行动,奇异博士,美国队长3,寻龙诀,港囧,魔兽,从你的全世界路过,疯狂动物城,盗墓笔记
246177,X战警：天启,0.51,0.49,0.09,0.33,0.29,0.14,0.08,0.08,0.29,0.7,0.44,0.22,0.19,0.15,其他,0.53,白领,0.35,学生,0.12,动作,0.32,爱情,0.28,科幻,0.16,喜剧,0.12,动画,0.04,美人鱼,美国队长3,复仇者联盟2：奥创纪元,港囧,寻龙诀,疯狂动物城,速度与激情7,魔兽,侏罗纪世界,捉妖记
78439,蝙蝠侠大战超人：正义黎明,0.55,0.46,0.08,0.34,0.28,0.13,0.08,0.08,0.31,0.69,0.45,0.21,0.19,0.15,其他,0.51,白领,0.37,学生,0.12,动作,0.32,爱情,0.28,科幻,0.16,喜剧,0.12,动画,0.05,美人鱼,美国队长3,复仇者联盟2：奥创纪元,疯狂动物城,寻龙诀,港囧,星球大战：原力觉醒,速度与激情7,蚁人,侏罗纪世界
343203,釜山行,0.49,0.51,0.15,0.41,0.25,0.08,0.04,0.06,0.33,0.67,0.48,0.2,0.17,0.15,其他,0.49,白领,0.32,学生,0.2,动作,0.32,爱情,0.28,科幻,0.16,喜剧,0.12,动画,0.05,美人鱼,湄公河行动,疯狂动物城,从你的全世界路过,寻龙诀,港囧,魔兽,使徒行者,美国队长3,夏洛特烦恼
246390,从你的全世界路过,0.4,0.6,0.14,0.37,0.25,0.1,0.06,0.07,0.28,0.72,0.42,0.27,0.2,0.11,其他,0.55,白领,0.27,学生,0.18,动作,0.32,爱情,0.29,科幻,0.14,喜剧,0.14,动画,0.04,美人鱼,湄公河行动,港囧,盗墓笔记,疯狂动物城,唐人街探案,使徒行者,夏洛特烦恼,捉妖记,寻龙诀
247822,自杀小队,0.63,0.37,0.14,0.37,0.24,0.09,0.06,0.11,0.29,0.71,0.47,0.18,0.18,0.17,其他,0.51,白领,0.32,学生,0.16,动作,0.32,爱情,0.27,科幻,0.18,喜剧,0.11,动画,0.05,美国队长3,美人鱼,X战警：天启,疯狂动物城,魔兽,奇异博士,复仇者联盟2：奥创纪元,寻龙诀,蝙蝠侠大战超人：正义黎明,港囧
76365,叶问3,0.56,0.43,0.06,0.32,0.31,0.15,0.08,0.08,0.26,0.74,0.43,0.22,0.2,0.16,其他,0.55,白领,0.36,学生,0.09,动作,0.32,爱情,0.28,科幻,0.16,喜剧,0.12,动画,0.04,美人鱼,港囧,寻龙诀,唐人街探案,澳门风云3,速度与激情7,夏洛特烦恼,捉妖记,复仇者联盟2：奥创纪元,美国队长3
1140604,死侍，黑豹，铁手套
78421,魔兽,0.53,0.47,0.08,0.33,0.29,0.14,0.08,0.08,0.28,0.72,0.44,0.23,0.19,0.14,其他,0.55,白领,0.34,学生,0.12,动作,0.32,爱情,0.28,科幻,0.16,喜剧,0.12,动画,0.04,美人鱼,美国队长3,寻龙诀,疯狂动物城,港囧,速度与激情7,X战警：天启,复仇者联盟2：奥创纪元,侏罗纪世界,星球大战：原力觉醒
246124,奇异博士,0.51,0.49,0.1,0.35,0.27,0.13,0.08,0.08,0.34,0.66,0.45,0.22,0.19,0.14,其他,0.49,白领,0.35,学生,0.16,动作,0.32,爱情,0.28,科幻,0.16,喜剧,0.12,动画,0.05,美国队长3,美人鱼,疯狂动物城,湄公河行动,X战警：天启,魔兽,复仇者联盟2：奥创纪元,寻龙诀,港囧,蚁人
79202,西游记之孙悟空三打白骨精,0.49,0.51,0.07,0.3,0.28,0.15,0.1,0.09,0.26,0.74,0.42,0.25,0.2,0.12,其他,0.56,白领,0.34,学生,0.1,动作,0.32,爱情,0.28,科幻,0.15,喜剧,0.12,动画,0.05,美人鱼,港囧,寻龙诀,唐人街探案,捉妖记,夏洛特烦恼,澳门风云3,速度与激情7,星球大战：原力觉醒,疯狂动物城
79203,盗墓笔记,0.45,0.55,0.11,0.33,0.27,0.13,0.09,0.09,0.25,0.75,0.42,0.26,0.2,0.12,其他,0.58,白领,0.29,学生,0.13,动作,0.32,爱情,0.29,科幻,0.15,喜剧,0.12,动画,0.04,美人鱼,寻龙诀,港囧,捉妖记,魔兽,唐人街探案,美国队长3,疯狂动物城,速度与激情7,夏洛特烦恼
338391,湄公河行动,0.47,0.53,0.09,0.33,0.28,0.14,0.08,0.08,0.3,0.7,0.43,0.24,0.19,0.14,其他,0.53,白领,0.33,学生,0.14,动作,0.32,爱情,0.29,科幻,0.15,喜剧,0.12,动画,0.04,美人鱼,从你的全世界路过,使徒行者,港囧,寻龙诀,美国队长3,魔兽,疯狂动物城,唐人街探案,寒战2
1211176,山2,0.7,0.29,0.05,0.33,0.26,0.16,0.09,0.1,0.32,0.68,0.44,0.23,0.2,0.13,白领,0.48,其他,0.31,学生,0.21,动作,0.56,科幻,0.13,爱情,0.1,喜剧,0.08,魔幻,0.05,复仇者联盟3：无限战争,红海行动,侏罗纪世界2,我不是药神,头号玩家,狂暴巨兽,唐人街探案2,西虹市首富,环太平洋：雷霆再起,黑豹
1142003,一条大鱼叫海棠
410612,驴得水,0.45,0.55,0.08,0.34,0.29,0.14,0.08,0.07,0.32,0.68,0.43,0.25,0.2,0.12,其他,0.51,白领,0.34,学生,0.14,动作,0.32,爱情,0.28,科幻,0.14,喜剧,0.13,动画,0.05,湄公河行动,从你的全世界路过,美人鱼,夏洛特烦恼,奇异博士,港囧,疯狂动物城,寻龙诀,我不是潘金莲,唐人街探案
248006,澳门风云3,0.48,0.52,0.08,0.34,0.28,0.13,0.08,0.08,0.23,0.77,0.4,0.26,0.21,0.13,其他,0.58,白领,0.31,学生,0.1,动作,0.32,爱情,0.29,科幻,0.15,喜剧,0.14,动画,0.04,美人鱼,港囧,唐人街探案,寻龙诀,捉妖记,夏洛特烦恼,速度与激情7,恶棍天使,万万没想到,复仇者联盟2：奥创纪元
